image_path,label
C:/Users/maill/WORK/Dataset/32_1/img_1,Из
C:/Users/maill/WORK/Dataset/32_1/img_2,архива
C:/Users/maill/WORK/Dataset/32_1/img_3,П.
C:/Users/maill/WORK/Dataset/32_1/img_4,П.
C:/Users/maill/WORK/Dataset/32_1/img_5,Бажова
C:/Users/maill/WORK/Dataset/32_1/img_6,Письма
C:/Users/maill/WORK/Dataset/32_1/img_7,крестьян
C:/Users/maill/WORK/Dataset/32_1/img_8,в
C:/Users/maill/WORK/Dataset/32_1/img_9,«Крестьянскую
C:/Users/maill/WORK/Dataset/32_1/img_10,газету»
C:/Users/maill/WORK/Dataset/32_1/img_11,рукописных
C:/Users/maill/WORK/Dataset/32_1/img_12,листов -
C:/Users/maill/WORK/Dataset/32_1/img_13,446
C:/Users/maill/WORK/Dataset/32_1/img_14,Машинописных -
C:/Users/maill/WORK/Dataset/32_1/img_15,22
C:/Users/maill/WORK/Dataset/32_1/img_16,1927
C:/Users/maill/WORK/Dataset/32_1/img_17,г.
C:/Users/maill/WORK/Dataset/32_10/img_1,В
C:/Users/maill/WORK/Dataset/32_10/img_2,крест.
C:/Users/maill/WORK/Dataset/32_10/img_3,Редакцию
C:/Users/maill/WORK/Dataset/32_10/img_4,Газеты
C:/Users/maill/WORK/Dataset/32_10/img_5,Прошу
C:/Users/maill/WORK/Dataset/32_10/img_6,поместить
C:/Users/maill/WORK/Dataset/32_10/img_7,статью
C:/Users/maill/WORK/Dataset/32_10/img_8,в
C:/Users/maill/WORK/Dataset/32_10/img_9,вашей
C:/Users/maill/WORK/Dataset/32_10/img_10,газете
C:/Users/maill/WORK/Dataset/32_10/img_11,крестьянин
C:/Users/maill/WORK/Dataset/32_10/img_12,дер
C:/Users/maill/WORK/Dataset/32_10/img_13,Никольской
C:/Users/maill/WORK/Dataset/32_10/img_14,тогоже
C:/Users/maill/WORK/Dataset/32_10/img_15,Ламенкого
C:/Users/maill/WORK/Dataset/32_10/img_16,раиона
C:/Users/maill/WORK/Dataset/32_10/img_17,Ишимского
C:/Users/maill/WORK/Dataset/32_10/img_18,округа
C:/Users/maill/WORK/Dataset/32_10/img_19,Грябенской
C:/Users/maill/WORK/Dataset/32_10/img_20,Василии
C:/Users/maill/WORK/Dataset/32_11/img_1,Свердловск.
C:/Users/maill/WORK/Dataset/32_11/img_2,"""Крестьянской газеты""."
C:/Users/maill/WORK/Dataset/32_11/img_3,Я
C:/Users/maill/WORK/Dataset/32_11/img_4,ученик
C:/Users/maill/WORK/Dataset/32_11/img_5,гл.
C:/Users/maill/WORK/Dataset/32_11/img_6,к. м
C:/Users/maill/WORK/Dataset/32_11/img_7,уезжаю
C:/Users/maill/WORK/Dataset/32_11/img_8,В с.
C:/Users/maill/WORK/Dataset/32_11/img_9,Иев
C:/Users/maill/WORK/Dataset/32_11/img_10,"лево,"
C:/Users/maill/WORK/Dataset/32_11/img_11,Ярко
C:/Users/maill/WORK/Dataset/32_11/img_12,вского
C:/Users/maill/WORK/Dataset/32_11/img_13,района
C:/Users/maill/WORK/Dataset/32_11/img_14,","
C:/Users/maill/WORK/Dataset/32_11/img_15,Тюменского
C:/Users/maill/WORK/Dataset/32_11/img_16,"круга,."
C:/Users/maill/WORK/Dataset/32_11/img_17,Ученик
C:/Users/maill/WORK/Dataset/32_11/img_18,Белоеж
C:/Users/maill/WORK/Dataset/32_11/img_19,ин
C:/Users/maill/WORK/Dataset/32_11/img_20,Вл.
C:/Users/maill/WORK/Dataset/32_11/img_21,Ал.
C:/Users/maill/WORK/Dataset/32_12/img_1,всего
C:/Users/maill/WORK/Dataset/32_12/img_2,8 эгзем.
C:/Users/maill/WORK/Dataset/32_12/img_3,да
C:/Users/maill/WORK/Dataset/32_12/img_4,надо
C:/Users/maill/WORK/Dataset/32_12/img_5,составить
C:/Users/maill/WORK/Dataset/32_12/img_6,отчет
C:/Users/maill/WORK/Dataset/32_12/img_7,да
C:/Users/maill/WORK/Dataset/32_12/img_8,программ
C:/Users/maill/WORK/Dataset/32_12/img_9,статистики
C:/Users/maill/WORK/Dataset/32_12/img_10,за
C:/Users/maill/WORK/Dataset/32_12/img_11,помнить
C:/Users/maill/WORK/Dataset/32_12/img_12,а
C:/Users/maill/WORK/Dataset/32_12/img_13,завтра
C:/Users/maill/WORK/Dataset/32_12/img_14,н
C:/Users/maill/WORK/Dataset/32_12/img_15,алом
C:/Users/maill/WORK/Dataset/32_12/img_16,не
C:/Users/maill/WORK/Dataset/32_12/img_17,когда
C:/Users/maill/WORK/Dataset/32_12/img_18,будет.
C:/Users/maill/WORK/Dataset/32_12/img_19,пока
C:/Users/maill/WORK/Dataset/32_12/img_20,все
C:/Users/maill/WORK/Dataset/32_12/img_21,это
C:/Users/maill/WORK/Dataset/32_12/img_22,робо
C:/Users/maill/WORK/Dataset/32_12/img_23,тал
C:/Users/maill/WORK/Dataset/32_12/img_24,и
C:/Users/maill/WORK/Dataset/32_12/img_25,вечер
C:/Users/maill/WORK/Dataset/32_12/img_26,на
C:/Users/maill/WORK/Dataset/32_12/img_27,дворе.
